tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Travel,Travel_keywords,Terrorism,Terrorism_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Education,Education_keywords,Health,Health_keywords,Sports,Sports_keywords,Lifestyle,Lifestyle_keywords,Politics,Politics_keywords,Economy,Economy_keywords,Entertainment,Entertainment_keywords,Religion,Religion_keywords,Stock Exchange,Stock Exchange_keywords,Courthouse types stories,Courthouse types stories_keywords,City Hall types stories,City Hall types stories_keywords,Business,Business_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,2nd Amendment,2nd Amendment_keywords,Russian Sphere,Russian Sphere_keywords,Immigration,Immigration_keywords,Race,Race_keywords,State House types stories,State House types stories_keywords,Abortion,Abortion_keywords,Science,Science_keywords,Technology,Technology_keywords
812464605536616448,2944766250,Atlanta Online,2016-12-24 01:07:00,1.0,"('bus',)",,,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811943011236147200,2495567768,San Francisco Daily,2016-12-22 14:34:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811052630961225728,2495567768,San Francisco Daily,2016-12-20 03:36:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"('remember',)",,,,,,,,,,,,,,,,
813057288948842496,3899481526,Syria Today,2016-12-25 16:22:00,0.0,(),,,,,0.0,(),0.0,(),,,,,,,,,,,,,,,1.0,"('factory',)",,,,,,,,,,,,,,,,,1.0,"('gun',)",,,,,,,,,,,,,,
810691230422048768,2752677905,New York City Today,2016-12-19 03:40:00,0.0,(),,,,,0.0,(),0.0,(),1.0,"('crime',)",0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811034172022202368,2675966513,Dallas Top News,2016-12-20 02:23:00,0.0,(),,,,,0.0,(),0.0,(),,,,,,,,,,,,,1.0,"('trump',)",,,,,1.0,"('salvation',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
810636097822879744,2753146444,Cleveland Online,2016-12-19 00:01:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811663354737655808,2547141851,Chicago Daily News,2016-12-21 20:03:00,0.0,(),,,1.0,"('shoot',)",0.0,(),,,,,1.0,"('series',)",,,,,,,,,,,,,1.0,"('series',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811595390034345984,2675966513,Dallas Top News,2016-12-21 15:33:00,0.0,(),,,,,0.0,(),0.0,(),1.0,"('police',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"('turkey',)",,,,,,,,,,,,
812531056167579648,2675966513,Dallas Top News,2016-12-24 05:31:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,1.0,"('food',)",,,,,,,,,,,,,,,,,,,,
811324157912825856,2752677905,New York City Today,2016-12-20 21:35:00,0.0,(),,,,,0.0,(),0.0,(),,,,,,,,,1.0,"('run',)",,,,,,,,,,,,,1.0,"('justice',)",,,,,,,,,,,,,,,,,,,,,,,,
812759607965863936,2495567768,San Francisco Daily,2016-12-24 20:39:00,0.0,(),,,,,0.0,(),,,,,1.0,"('memphis',)",,,,,,,,,,,1.0,"('bank',)",,,,,,,,,,,1.0,"('bank',)",,,,,,,,,,,,,,,,,,,,
811854836413190144,2620614029,Philadelphia Online,2016-12-22 08:44:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,1.0,"('holiday',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
811444699726745600,2495567768,San Francisco Daily,2016-12-21 05:34:00,1.0,"('hold',)",,,,,0.0,(),0.0,(),1.0,"('police',)",0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812334041148063744,2537507303,El Paso Top News,2016-12-23 16:28:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811751446924460032,2630842499,San Diego Daily,2016-12-22 01:53:00,0.0,(),,,,,0.0,(),,,,,,,1.0,"('university',)",,,,,,,1.0,"('trump',)",,,,,,,,,2.0,"('judge', 'settlement')",,,,,,,,,,,,,,,,,,,,,,,,
811127000000000000,2547141851,Chicago Daily News,2016-12-20 08:32:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
