tweetid,userid,user_display_name,tweet_time,Crime,Crime_keywords,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Events,Events_keywords,Politics,Politics_keywords,Lifestyle,Lifestyle_keywords,Technology,Technology_keywords,Science,Science_keywords,Health,Health_keywords,City Hall types stories,City Hall types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,2nd Amendment,2nd Amendment_keywords,Education,Education_keywords,Travel,Travel_keywords,Obituaries,Obituaries_keywords,Stock Exchange,Stock Exchange_keywords,Immigration,Immigration_keywords,Religion,Religion_keywords,Race,Race_keywords,Terrorism,Terrorism_keywords,Leisure,Leisure_keywords,Courthouse types stories,Courthouse types stories_keywords,Russian Sphere,Russian Sphere_keywords,State House types stories,State House types stories_keywords,Abortion,Abortion_keywords
720493135055450112,3074563039,St. Louis Online,2016-04-14 06:05:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,1.0,"('game',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721379227124178944,2495567768,San Francisco Daily,2016-04-16 16:46:00,0.0,(),0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720846486464909312,2495567768,San Francisco Daily,2016-04-15 05:29:00,0.0,(),0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720882322522775552,2601235821,Pittsburgh Today,2016-04-15 07:51:00,,,0.0,(),0.0,(),,,,,1.0,"('politics',)",,,,,,,,,,,,,,,,,1.0,"('close',)",,,,,,,,,,,,,,,,,,,,,,,1.0,"('russia',)",,,,
719442045874491392,2587843805,KansasCityDailyNews,2016-04-11 08:28:00,0.0,(),0.0,(),1.0,"('ice',)",0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"('ice',)",,,,,,,,,,,,,,,,
721070279229747200,3074563039,St. Louis Online,2016-04-15 20:18:00,,,0.0,(),0.0,(),0.0,(),,,,,,,,,,,1.0,"('brain',)",,,,,,,,,,,,,2.0,"('student', 'university')",,,,,,,,,,,,,,,,,,,,,,,,
719615927902281728,2587843805,KansasCityDailyNews,2016-04-11 19:59:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,1.0,"('inspiration',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721035547158786048,2587843805,KansasCityDailyNews,2016-04-15 18:00:00,,,0.0,(),0.0,(),,,,,,,,,,,,,,,,,1.0,"('bond',)",,,,,,,,,,,,,,,1.0,"('bond',)",,,,,,,,,,,1.0,"('judge',)",,,,,,
720665000000000000,2587843805,KansasCityDailyNews,2016-04-14 17:26:00,0.0,(),0.0,(),0.0,(),0.0,(),1.0,"('ticket',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720097000000000000,2587843805,KansasCityDailyNews,2016-04-13 03:52:00,0.0,(),0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719585498520358912,2494112058,San Jose Daily,2016-04-11 17:58:00,,,0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,1.0,"('report',)",,,,,,,1.0,"('sport',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
720679790034849792,2611151319,Seattle Post,2016-04-14 18:27:00,0.0,(),0.0,(),1.0,"('nino',)",0.0,(),,,,,,,,,1.0,"('meteorologist',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719557861441863680,3074013672,Oakland Online,2016-04-11 16:08:00,,,0.0,(),0.0,(),0.0,(),,,1.0,"('politics',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"('lawyer',)",,,,,,
720457028129419264,2587843805,KansasCityDailyNews,2016-04-14 03:41:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,1.0,"('run',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
721169000000000000,2495567768,San Francisco Daily,2016-04-16 02:49:00,0.0,(),0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720922671047835648,2587843805,KansasCityDailyNews,2016-04-15 10:32:00,0.0,(),0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720695596110061568,3074013672,Oakland Online,2016-04-14 19:29:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,2.0,"('nba', 'sport')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
