tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Entertainment,Entertainment_keywords,Politics,Politics_keywords,Economy,Economy_keywords,Business,Business_keywords,City Hall types stories,City Hall types stories_keywords,Lifestyle,Lifestyle_keywords,Health,Health_keywords,Education,Education_keywords,Sports,Sports_keywords,Courthouse types stories,Courthouse types stories_keywords,Obituaries,Obituaries_keywords,Terrorism,Terrorism_keywords,State House types stories,State House types stories_keywords,Religion,Religion_keywords,2nd Amendment,2nd Amendment_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Russian Sphere,Russian Sphere_keywords,Science,Science_keywords,Technology,Technology_keywords,Race,Race_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Stock Exchange,Stock Exchange_keywords,Abortion,Abortion_keywords
697074311622893568,2743327187,Washington Online,2016-02-09 15:07:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,1.0,"('trump',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697476325330661376,2601235821,Pittsburgh Today,2016-02-10 17:44:00,0.0,(),0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697937824201347072,2753338899,San Antonio Top News,2016-02-12 00:18:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,1.0,"('sport',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698333683976003584,3074563039,St. Louis Online,2016-02-13 02:31:00,0.0,(),,,,,,,,,1.0,"('business',)",,,1.0,"('business',)",1.0,"('business',)",,,,,,,,,,,,,,,,,,,,,,,1.0,"('flight',)",,,,,,,,,,,,,,,,,,
696764376481574912,2753146444,Cleveland Online,2016-02-08 18:35:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,2.0,"('caucus', 'politics')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698232968431722496,2587843805,KansasCityDailyNews,2016-02-12 19:51:00,0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"('pope',)",,,,,,,1.0,"('russian',)",,,,,,,,,,,,,,
696501152595095552,2753211010,Phoenix Daily News,2016-02-08 01:09:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,1.0,"('sport',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697904647072133120,2494112058,San Jose Daily,2016-02-11 22:06:00,0.0,(),0.0,(),0.0,(),,,1.0,"('contest',)",,,,,,,,,,,,,,,,,1.0,"('sport',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696785104782303232,2753211010,Phoenix Daily News,2016-02-08 19:58:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,1.0,"('politics',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697851428912541696,2494112058,San Jose Daily,2016-02-11 18:35:00,0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,1.0,"('report',)",,,,,,,1.0,"('sport',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
