tweetid,userid,user_display_name,tweet_time,Health,Health_keywords,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Lifestyle,Lifestyle_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,City Hall types stories,City Hall types stories_keywords,Obituaries,Obituaries_keywords,Sports,Sports_keywords,Politics,Politics_keywords,Events,Events_keywords,Business,Business_keywords,Education,Education_keywords,Terrorism,Terrorism_keywords,Entertainment,Entertainment_keywords,Economy,Economy_keywords,Courthouse types stories,Courthouse types stories_keywords,Race,Race_keywords,Technology,Technology_keywords,Religion,Religion_keywords,Stock Exchange,Stock Exchange_keywords,Russian Sphere,Russian Sphere_keywords,State House types stories,State House types stories_keywords,Immigration,Immigration_keywords,2nd Amendment,2nd Amendment_keywords,Science,Science_keywords
7.81e+17,2587843805,KansasCityDailyNews,2016-09-27 16:16:00,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,1.0,"('politics',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.81e+17,2495567768,San Francisco Daily,2016-09-27 3:03:00,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.82e+17,2753211010,Phoenix Daily News,2016-10-01 18:14:00,,,0.0,(),0.0,(),0.0,(),2.0,"('arrest', 'robbery')",,,,,,,,,,,,,,,,,1.0,"('bar',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.81e+17,3074563039,St. Louis Online,2016-09-27 16:06:00,,,0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,1.0,"('business',)",,,,,1.0,"('business',)",1.0,"('business',)",,,,,,,,,,,,,,,,,,,,
7.82e+17,2753211010,Phoenix Daily News,2016-09-30 18:47:00,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,1.0,"('comedy',)",,,,,,,,,,,,,,,,,,,,,,
7.83e+17,3071479646,Baltimore Online,2016-10-02 23:29:00,,,0.0,(),0.0,(),1.0,"('wild',)",0.0,(),,,,,,,,,,,,,,,,,,,,,,,1.0,"('game',)",,,,,,,,,,,,,,,,,,,,,,
7.82e+17,3899481526,Syria Today,2016-09-29 14:46:00,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"('gun',)",,
7.8e+17,2587843805,KansasCityDailyNews,2016-09-26 15:42:00,,,0.0,(),0.0,(),0.0,(),3.0,"('crime', 'fbi', 'murder')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"('data',)"
7.81e+17,2928870434,Newspeak Daily,2016-09-27 13:41:00,3.0,"('drug', 'health', 'patient')",0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,1.0,"('amgen',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.81e+17,2495567768,San Francisco Daily,2016-09-29 5:18:00,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.81e+17,2587843805,KansasCityDailyNews,2016-09-27 17:24:00,,,0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,1.0,"('worker',)",,,,,,,1.0,"('worker',)",1.0,"('lawsuit',)",,,,,,,,,,,,,,,,,,
7.82e+17,2587843805,KansasCityDailyNews,2016-09-30 17:00:00,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"('plea',)",,,,,,,,,,,,,,,,,,
7.81e+17,2587843805,KansasCityDailyNews,2016-09-28 7:16:00,,,0.0,(),0.0,(),0.0,(),1.0,"('police',)",,,,,,,,,,,,,,,,,,,,,1.0,"('shoot',)",,,,,,,,,,,,,,,,,,,,,,,,
7.81e+17,2587843805,KansasCityDailyNews,2016-09-26 20:51:00,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.82e+17,2587843805,KansasCityDailyNews,2016-09-30 19:21:00,,,0.0,(),0.0,(),,,,,1.0,"('park',)",1.0,"('park',)",1.0,"('park',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.82e+17,2547141851,Chicago Daily News,2016-09-30 22:38:00,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.81e+17,2587843805,KansasCityDailyNews,2016-09-28 19:45:00,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.81e+17,2571870453,Detroit Daily News,2016-09-27 17:01:00,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.8e+17,2530830345,New Orleans Online,2016-09-26 12:33:00,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,1.0,"('report',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.81e+17,2628066159,Houston Top News,2016-09-29 9:48:00,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,1.0,"('trump',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.82e+17,2752677905,New York City Today,2016-09-30 1:09:00,,,0.0,(),0.0,(),0.0,(),1.0,"('police',)",,,,,,,,,,,,,,,0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.8e+17,2495567768,San Francisco Daily,2016-09-26 13:11:00,,,0.0,(),0.0,(),0.0,(),1.0,"('police',)",,,,,,,,,,,,,,,,,,,,,1.0,"('shoot',)",,,,,,,,,,,,,,,,,,,,,,,,
7.81e+17,2587843805,KansasCityDailyNews,2016-09-27 14:35:00,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,3.0,"('clinton', 'politics', 'trump')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.83e+17,2495567768,San Francisco Daily,2016-10-02 21:13:00,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.8e+17,2547141851,Chicago Daily News,2016-09-26 14:57:00,,,0.0,(),0.0,(),0.0,(),,,1.0,"('camp',)",,,1.0,"('camp',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.82e+17,2753211010,Phoenix Daily News,2016-10-01 4:41:00,,,1.0,"('car',)",0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.81e+17,2495567768,San Francisco Daily,2016-09-28 19:07:00,,,0.0,(),0.0,(),0.0,(),1.0,"('arrest',)",,,,,,,,,,,1.0,"('oakland',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.82e+17,2547141851,Chicago Daily News,2016-09-30 19:43:00,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.81e+17,2547141851,Chicago Daily News,2016-09-28 11:29:00,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.8e+17,2530830345,New Orleans Online,2016-09-26 0:05:00,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.81e+17,2591847731,Boston Today,2016-09-27 21:52:00,,,0.0,(),0.0,(),0.0,(),1.0,"('parole',)",,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"('parole',)",,,,,,,,,,,,,,,,,,
7.82e+17,2587843805,KansasCityDailyNews,2016-09-30 16:49:00,,,0.0,(),0.0,(),0.0,(),1.0,"('arrest',)",,,,,,,,,,,,,,,,,,,1.0,"('student',)",,,,,,,,,,,,,,,,,,,,,,,,,,
7.83e+17,2620614029,Philadelphia Online,2016-10-02 13:16:00,,,2.0,"('pedestrian', 'sidewalk')",0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
